time_black_0708	CH4_black_0708
7/7/15 11:31	21.583489
7/7/15 11:36	21.527557
7/7/15 11:41	21.532495
7/7/15 11:46	21.544784
7/7/15 11:51	21.562816
7/7/15 11:56	21.569477
7/7/15 12:01	21.578321
7/7/15 12:06	21.584753
7/7/15 12:11	21.583604
7/7/15 12:16	21.548689
7/7/15 12:21	21.561323
7/7/15 12:26	21.56718
7/7/15 12:31	21.533988
7/7/15 12:36	21.534218
7/7/15 12:41	21.521929
7/7/15 12:46	21.513085
7/7/15 12:51	21.484028
7/7/15 12:56	21.483339
7/7/15 13:01	21.464963
7/7/15 13:06	21.430507
7/7/15 13:11	21.400646
7/7/15 13:16	21.368832
7/7/15 13:21	21.356773
7/7/15 13:26	21.383992
7/7/15 13:31	21.402484
7/7/15 13:36	21.422468
7/7/15 13:41	21.402713
7/7/15 13:46	21.374919
7/7/15 13:51	21.315082
7/7/15 13:56	21.307616
7/7/15 14:01	21.325189
7/7/15 14:06	21.327945
7/7/15 14:11	21.351604
7/7/15 14:16	21.350341
7/7/15 14:21	21.331505
7/7/15 14:26	21.329323
7/7/15 14:31	21.313014
7/7/15 14:36	21.29728
7/7/15 14:41	21.295212
7/7/15 14:46	21.289125
7/7/15 14:51	21.289929
7/7/15 14:56	21.268797
7/7/15 15:01	21.241462
7/7/15 15:06	21.195292
7/7/15 15:11	21.141886
7/7/15 15:16	21.14269
7/7/15 15:21	21.13867
7/7/15 15:26	21.178294
7/7/15 15:31	21.188975
7/7/15 15:36	21.179098
7/7/15 15:41	21.150959
7/7/15 15:46	21.110761
7/7/15 15:51	21.093304
7/7/15 15:56	21.068036
7/7/15 16:01	21.040587
7/7/15 16:06	21.040587
7/7/15 16:11	21.043803
7/7/15 16:16	21.043688
7/7/15 16:21	21.05747
7/7/15 16:26	21.053221
7/7/15 16:31	21.05724
7/7/15 16:36	21.039783
7/7/15 16:41	21.013712
7/7/15 16:46	21.024278
7/7/15 16:51	20.96513
7/7/15 16:56	20.95709
7/7/15 17:01	20.916433
7/7/15 17:06	20.924128
7/7/15 17:11	20.896793
7/7/15 17:16	20.867621
7/7/15 17:21	20.856021
7/7/15 17:26	20.840516
7/7/15 17:31	20.835692
7/7/15 17:36	20.815478
7/7/15 17:41	20.825355
7/7/15 17:46	20.823977
7/7/15 17:51	20.81766
7/7/15 17:56	20.831902
7/7/15 18:01	20.827423
7/7/15 18:06	20.827423
7/7/15 18:11	20.801696
7/7/15 18:16	20.784928
7/7/15 18:21	20.765977
7/7/15 18:26	20.72153
7/7/15 18:31	20.708896
7/7/15 18:36	20.665138
7/7/15 18:41	20.638952
7/7/15 18:46	20.665023
7/7/15 18:51	20.69052
7/7/15 18:56	20.664449
7/7/15 19:01	20.602314
