time_U	CH4_U
6/3/15 2:30	20.962718
6/3/15 2:35	20.971446
6/3/15 2:40	20.959387
6/3/15 2:45	20.91804
6/3/15 2:50	20.909427
6/3/15 2:55	20.896908
6/3/15 3:00	20.879106
6/3/15 3:05	20.884963
6/3/15 3:10	20.864635
6/3/15 3:15	20.867046
6/3/15 3:20	20.852575
6/3/15 3:25	20.835347
6/3/15 3:30	20.795379
6/3/15 3:35	20.759775
6/3/15 3:40	20.778955
6/3/15 3:45	20.753803
6/3/15 3:50	20.741284
6/3/15 3:55	20.731522
6/3/15 4:00	20.73715
6/3/15 4:05	20.701086
6/3/15 4:10	20.662496
6/3/15 4:15	20.657213
6/3/15 4:20	20.639526
6/3/15 4:25	20.626777
6/3/15 4:30	20.612306
6/3/15 4:35	20.62448
6/3/15 4:40	20.59795
6/3/15 4:45	20.598065
6/3/15 4:50	20.564643
6/3/15 4:55	20.540639
6/3/15 5:00	20.530187
6/3/15 5:05	20.50469
6/3/15 5:10	20.481605
6/3/15 5:15	20.491368
6/3/15 5:20	20.475863
6/3/15 5:25	20.478389
6/3/15 5:30	20.468742
6/3/15 5:35	20.43911
6/3/15 5:40	20.412694
6/3/15 5:45	20.389839
6/3/15 5:50	20.386508
6/3/15 5:55	20.367328
6/3/15 6:00	20.365491
6/3/15 6:05	20.367098
6/3/15 6:10	20.348378
6/3/15 6:15	20.33138
6/3/15 6:20	20.297498
6/3/15 6:25	20.30037
6/3/15 6:30	20.280845
6/3/15 6:35	20.270049
6/3/15 6:40	20.2658
6/3/15 6:45	20.243289
6/3/15 6:50	20.238695
6/3/15 6:55	20.218136
6/3/15 7:00	20.208374
6/3/15 7:05	20.188964
6/3/15 7:10	20.177134
6/3/15 7:15	20.168635
6/3/15 7:20	20.146584
6/3/15 7:25	20.155657
6/3/15 7:30	20.13372
6/3/15 7:35	20.139693
6/3/15 7:40	20.107879
6/3/15 7:45	20.087091
6/3/15 7:50	20.074113
6/3/15 7:55	20.058378
6/3/15 8:00	20.038623
