Gasmet_Cave	Cave	Treat	CO2	CH4
7d1	Trung_Trang	control	662	1.79
7d2	Trung_Trang	air	476	1.95
7d3	Trung_Trang	live	557	2.19
7d4	Trung_Trang	live	584	1.86
7d5	Trung_Trang	dead	1265	1.48
7d6	Trung_Trang	dead	919	1.74
8e	Hoa_Cuong	air	496	1.74
8f5	Hoa_Cuong	dead	1099	1.4
8f6	Hoa_Cuong	dead	1776	2.11
8f7	Hoa_Cuong	dead	1331	1.69
8f2	Hoa_Cuong	live	672	0
8f3	Hoa_Cuong	live	634	0
8f4	Hoa_Cuong	live	725	0.42
8f1	Hoa_Cuong	control	617	1.83
9d	Minh_Chau	air	432	2.44
9d2	Minh_Chau	live	512	0.28
9d3	Minh_Chau	live	470	0.37
9d4	Minh_Chau	live	448	0.68
9e	Minh_Chau	control	411	1.47
9d5	Minh_Chau	dead	159	2.67
9d6	Minh_Chau	dead	97	2.35
9d1	Minh_Chau	control	422	2.37
