bag	rock	radius.a	radius.b
1	1	350	356
1	2	220	226
1	3	503	211
1	4	418	250
1	5	495	275
1	6	531	306
1	7	173	195
1	8	161	219
1	9	245	326
1	cap	61	0
2	1	507	401
2	2	200	281
2	3	145	90
2	4	291	311
2	5	201	331
2	6	670	207
2	7	177	227
2	8	425	560
2	cap	70	0
3	1	398	353
3	2	235	80
3	3	333	120
3	4	330	110
3	5	283	193
3	6	190	205
3	7	262	223
3	8	504	373
3	9	440	334
3	cap	65	0
