"Pos" "Name" "Ct.SYBR" "Amount.SYBR..Copies." "Target.SYBR"
"1" "A1" "264" 36.63 515.2286316693 NA
"2" "A2" "264" 36.46 553.121049327576 NA
"3" "A3" "264" 38.28 258.73952891029 NA
"4" "A4" "265" 36.86 468.060589812515 NA
"5" "A5" "265" 37.57 348.002552446907 NA
"6" "A6" "265" 38.54 232.127188460318 NA
"7" "A7" "266" NA NA NA
"8" "A8" "266" NA NA NA
"9" "B1" "266" NA NA NA
"10" "B2" "267" 34.74 1134.09141134741 NA
"11" "B3" "267" 34.98 1025.97598445756 NA
"12" "B4" "267" 34.95 1038.90551911222 NA
"13" "B5" "268" 37.97 294.485773326796 NA
"14" "B6" "268" NA NA NA
"15" "B7" "268" NA NA NA
"16" "B8" "269" 34.57 1217.4980055854 NA
"17" "C1" "269" 35.43 850.26503615623 NA
"18" "C2" "269" NA NA NA
"19" "C3" "270" 36.65 510.944917638113 NA
"20" "C4" "270" 36.56 530.506437731776 NA
"21" "C5" "270" 36.55 532.725654001346 NA
"22" "C6" "271" NA NA NA
"23" "C7" "271" NA NA NA
"24" "C8" "271" NA NA NA
"25" "D1" "272" 34.98 1025.97598445756 NA
"26" "D2" "272" NA NA NA
"27" "D3" "272" 35.28 905.208476775311 NA
"28" "D4" "273" 32.93 2414.30710090922 NA
"29" "D5" "273" 32.86 2485.89729096416 NA
"30" "D6" "273" 33.25 2112.40906873309 NA
"31" "D7" "274" 33.01 2335.01077841426 NA
"32" "D8" "274" 33.24 2121.24570527488 NA
"33" "E1" "274" 33.69 1757.95640796153 NA
"34" "E2" "275" 38.99 192.372565517123 NA
"35" "E3" "275" NA NA NA
"36" "E4" "275" 36.22 611.407909133005 NA
"37" "E5" "276" NA NA NA
"38" "E6" "276" NA NA NA
"39" "E7" "276" NA NA NA
"40" "E8" "277" 32.52 2864.99306490273 NA
"41" "F1" "277" 33.26 2103.60924364844 NA
"42" "F2" "277" 33.72 1736.07803896648 NA
"43" "F3" "278" 34.35 1334.60644952876 NA
"44" "F4" "278" 34.56 1222.5910472339 NA
"45" "F5" "278" 34.41 1301.59389428591 NA
"46" "F6" "279" 34.62 1192.34928232973 NA
"47" "F7" "279" 34.87 1074.18646421401 NA
"48" "F8" "279" 34.34 1340.1893796039 NA
"49" "G1" "281" 33.67 1772.69494879252 NA
"50" "G2" "281" 33.81 1672.06312222275 NA
"51" "G3" "281" 33.77 1700.21749056974 NA
"52" "G4" "Negative" NA NA NA
"53" "G5" "Negative" NA NA NA
"54" "G6" "Negative" NA NA NA
"55" "G7" "Negative" NA NA NA
"56" "G8" "Negative" NA NA NA
"57" "H1" "661" 2.54 3384362917.00387 NA
"58" "H2" "661" 3.71 338436291.700387 NA
"59" "H3" "661" 7.81 33843629.1700387 NA
"60" "H4" "661" 14.31 3384362.91700387 NA
"61" "H5" "661" 20.66 338436.291700387 NA
"62" "H6" "661" 26.96 33843.6291700387 NA
"63" "H7" "661" 33.24 3384.36291700387 NA
"64" "H8" "661" 37.42 338.436291700387 NA
"65" "Analysis Parameters" "" NA NA NA
"66" "Type of Application" "Quantification" NA NA NA
"67" "Dye(s)" "SYBR" NA NA NA
"68" "Inverted Data" "OFF" NA NA NA
"69" "Threshold setting" "Noiseband" NA NA NA
"70" "Threshold level" "327" NA NA NA
"71" "Baseline setting" "Automatic" NA NA NA
"72" "Baseline range (from cycle no. ... to)" "n/a" NA NA NA
"73" "Drift Correction" "OFF" NA NA NA
"74" "Standard curve parameters" "" NA NA NA
"75" "Slope" "-5.424" NA NA NA
"76" "Y-Intercept" "52.37" NA NA NA
"77" "Efficiency" "0.53" NA NA NA
"78" "R^2" "0.983" NA NA NA
